code,name
VIS800,OfflineUser800
VIS801,OfflineUser801
VIS802,OfflineUser802
VIS803,OfflineUser803
VIS804,OfflineUser804
VIS805,OfflineUser805
VIS806,OfflineUser806
VIS807,OfflineUser807
VIS808,OfflineUser808
VIS809,OfflineUser809
VIS810,OfflineUser810
VIS811,OfflineUser811
VIS812,OfflineUser812
VIS813,OfflineUser813
VIS814,OfflineUser814
VIS815,OfflineUser815
VIS816,OfflineUser816
VIS817,OfflineUser817
VIS818,OfflineUser818
VIS819,OfflineUser819
VIS820,OfflineUser820
VIS821,OfflineUser821
VIS822,OfflineUser822
VIS823,OfflineUser823
VIS824,OfflineUser824
VIS825,OfflineUser825
VIS826,OfflineUser826
VIS827,OfflineUser827
VIS828,OfflineUser828
VIS829,OfflineUser829
VIS830,OfflineUser830
VIS831,OfflineUser831
VIS832,OfflineUser832
VIS833,OfflineUser833
VIS834,OfflineUser834
VIS835,OfflineUser835
VIS836,OfflineUser836
VIS837,OfflineUser837
VIS838,OfflineUser838
VIS839,OfflineUser839
VIS840,OfflineUser840
VIS841,OfflineUser841
VIS842,OfflineUser842
VIS843,OfflineUser843
VIS844,OfflineUser844
VIS845,OfflineUser845
VIS846,OfflineUser846
VIS847,OfflineUser847
VIS848,OfflineUser848
VIS849,OfflineUser849
VIS850,OfflineUser850
VIS851,OfflineUser851
VIS852,OfflineUser852
VIS853,OfflineUser853
VIS854,OfflineUser854
VIS855,OfflineUser855
VIS856,OfflineUser856
VIS857,OfflineUser857
VIS858,OfflineUser858
VIS859,OfflineUser859
VIS860,OfflineUser860
VIS861,OfflineUser861
VIS862,OfflineUser862
VIS863,OfflineUser863
VIS864,OfflineUser864
VIS865,OfflineUser865
VIS866,OfflineUser866
VIS867,OfflineUser867
VIS868,OfflineUser868
VIS869,OfflineUser869
VIS870,OfflineUser870
VIS871,OfflineUser871
VIS872,OfflineUser872
VIS873,OfflineUser873
VIS874,OfflineUser874
VIS875,OfflineUser875
VIS876,OfflineUser876
VIS877,OfflineUser877
VIS878,OfflineUser878
VIS879,OfflineUser879
VIS880,OfflineUser880
VIS881,OfflineUser881
VIS882,OfflineUser882
VIS883,OfflineUser883
VIS884,OfflineUser884
VIS885,OfflineUser885
VIS886,OfflineUser886
VIS887,OfflineUser887
VIS888,OfflineUser888
VIS889,OfflineUser889
VIS890,OfflineUser890
VIS891,OfflineUser891
VIS892,OfflineUser892
VIS893,OfflineUser893
VIS894,OfflineUser894
VIS895,OfflineUser895
VIS896,OfflineUser896
VIS897,OfflineUser897
VIS898,OfflineUser898
VIS899,OfflineUser899
VIS900,OfflineUser900
